categoryName;englishName;humanFormat;populate;visible;generalizations;mutexExceptions;knownNegatives;instanceType;seedInstances;seedExtractionPatterns;conceptSynonyms;queryString;editDate;author;curator;description;freebaseID;comment;
aracnídeo;arachnids;%s is an {arachnid};TRUE;TRUE;artrópode;;;common;"""escorpião""  ""aranha violino"" ""aranha marrom"" ""pseudo-escorpião"" ""aranha"" ""carrapato"" ""viúva-negra"" ""aranha armadeira"" ""schizomida"" ""opiliões""";"""_ é um aracnídeo"" ""_ é o aracnídeo"" ""é o aracnídeo _"" ""aracnídeo conhecido como _"" ""aracnídeo chamado de _"" ""aracnídeo apelidado de _"" ""_ é um dos aracnídeos"" ""_ é uma aranaha"" ""_ é a aranha"" ""aranha conhecida como _"" ""aranha chamada de _"" ""aranha apelidada de _"" ""_ é uma das aranhas"" ""aranhas tais como _"" ""aranhas assim como _"" ""aranhas como _"" ""aranha tal como _"" ""aranha assim como _"" ""aranha como _"" ""aracnídeos tais como _"" ""aracnídeos assim como _"" ""aracnídeos como _"" ""aracnídeo tal como _"" ""aracnídeo assim como _"" ""aracnídeo como _""";;aracnídeo;2014-10-31;Maísa Duarte;Maísa Duarte;air-breathing arthropods characterized by simple eyes and four pairs of legs;none;Translated, removed some names and added brazilian names;
arquea ;archaea;%s is an {archaeon};TRUE;TRUE;espécies;;;common;" ""Nanoarchaeum equitans"" ""Nanoarchaeota"" ""Halobacteria"" ""Crenarchaeota"" ""Korarchaeota"" ""Euryarchaeota"" ""Thermoprotei"" ""Archaeoglobaceae"" ""Archaeoglobus"" ""Archaeoglobales"" ""Ferroglobus"" ""Methanopyri""";"""_ é uma arquea"" ""_ é a arquea"" ""arquea conhecida como _"" ""arquea chamada de _"" ""arquea apelidada de _"" ""_ é uma das arqueas"" ""arqueas tais como _"" ""arqueas assim como _"" ""arqueas como _"" ""arquea tal como _"" ""arquea assim como _"" ""arquea como _""";;arquea ;2014-10-31;Maísa Duarte;Maísa Duarte;single-celled organisms lacking nuclei, formerly called archaebacteria but now known to differ fundamentally from bacteria;none;Translated;
arquiteto;architects;%s is an {architect};TRUE;TRUE;pessoa;artistaDeArteVisual masculino feminino celebridade cientista pessoaPorLocalidade professor;;proper;"""Alejandro Bustillo"" ""Cláudio Rossi"" ""Baldassarre Longhena"" ""François Mansart"" ""Attilio Corrêa Lima"" ""Oscar Niemeyer"" ""Senemut"" ""Alvar Aalto"" ""Louis Kahn"" ""Antoni Gaudí "" ""Norman Foster"" ""Arata Isozaki"" ""André Piva"" ""Ary Perez"" ""Elisário Bahiana"" ""Lúcio Costa"" ""Nora Tausz Rónai"" ""Carlos Porto"" ""Jaime Cezário""";"""projetos de arquitetos como _"" ""arquitetos como _"" ""arquitetos consagrados, como _"" ""arquitetos consagrados como _"" ""_ projetou a construção"" ""_ foi um pintor e arquiteto"" ""_ foi um arquiteto"" ""_ was an argentine painter and architect"" ""_ was a architect""  ""_  é um arquiteto brasileiro"" ""_ projetou os principais prédios"" ""o arquiteto britânico _"" ""a estrela da arquitetura _"" ""a obra da arquiteta _"" ""a obra do arquiteto _"" ""o parque foi projeto por _"" ""arquiteto da equipe de _"" ""_ arquiteto da equipe de"" ""_ é um arquiteto"" ""_ é o arquiteto"" ""é o arquiteto _"" ""arquiteto conhecido como _"" ""arquiteto chamado de _"" ""arquiteto apelidado de _"" ""_ é um dos arquitetos"" ""_ é uma arquiteta"" ""_ é a arquiteta"" ""arquiteta conhecida como _"" ""arquiteta chamada de _"" ""arquiteta apelidada de _"" ""_ é uma das arquitetas"" ""arquitetas tais como _"" ""arquitetas assim como _"" ""arquitetas como _"" ""arquiteta tal como _"" ""arquiteta assim como _"" ""arquiteta como _"" ""arquitetos tais como _"" ""arquitetos assim como _"" ""arquiteto tal como _"" ""arquiteto assim como _"" ""arquiteto como _""";;arquiteto;2014-10-31;Maísa Duarte;Maísa Duarte;"""a person who designs buildings or other structures""";/architecture/architect;Removed some names and added brazilian names;
artéria;arteries;%s is an {artery};TRUE;TRUE;parteDoCorpo;;;all;""" artéria renal"" ""artéria braquial"" ""artéria inominada"" ""artéria femoral"" ""artéria femoral profunda"" ""círculo de willis"" ""artéria subclávia"" ""artéria carótida externa"" ""arteríolas"" ""artéria pulmonar"" ""artéria carótida interna"" ""artéria radial""";"""_ é uma artéria"" ""_ é a artéria"" ""artéria conhecida como _"" ""artéria chamada de _"" ""artéria apelidada de _"" ""_ é uma das artéria"" ""artérias tais como _"" ""artérias como _"" ""artéria tal como _"" ""artéria como _""";;artéria;2014-10-31;Maísa Duarte;Maísa Duarte;"""Arteries are muscular blood vessels that carry blood away from the heart.""";/medicine/artery;Translated;
artrópode;arthropods;%s is an {arthropod};TRUE;TRUE;invertebrado;;;common;"""formigas"" ""abelhas"" ""vermes de veludo"" ""caranguejos"" ""aranhas"" ""escorpiões"" ""centopéias"" ""lacraia"" ""borboletas"" ""moscas"" ""besouros"" ""vespas"" ""trilobites"" ""piolhos"" ""lagostas""";"""_ é um artrópode"" ""_ é o artrópode"" ""é o artrópode _"" ""artrópode conhecido como _"" ""artrópode chamado de _"" ""artrópode apelidado de _"" ""_ é um dos artrópodes""  ""_ é uma artrópode"" ""_ é a artrópode"" ""artrópode conhecida como _"" ""artrópode chamada de _"" ""artrópode apelidada de _"" ""_ é uma das artrópodes"" ""artrópodes tais como _"" ""artrópodes assim como _"" ""artrópodes como _"" ""artrópode tal como _"" ""artrópode assim como _"" ""artrópode como _""";;artrópode;2014-10-31;Maísa Duarte;Maísa Duarte;Arthropods are members of the phylum Arthropoda.;none;Translated;
astronauta;astronauts;%s is an {astronaut};TRUE;TRUE;pessoa;masculino feminino celebridade pessoaPorLocalidade professor político;;proper;" ""Catherine Coleman"" ""Charles Edward Jones"" ""Harrison Schmitt"" ""Neil Armstrong"" ""Tamara E. Jernigan"" ""Yuri Gagarin"" ""Roger B. Chaffee"" ""Edward Higgins White"" ""Gus Grissom"" ""Toktar Aubakirov"" ""Elliot See"" ""Sonny Carter""";"""_ é um astronauta"" ""_ é o astronauta"" ""é o astronauta _"" ""astronauta conhecido como _"" ""astronauta chamado de _"" ""astronauta apelidado de _"" ""_ é um dos astronautas"" ""_ é uma astronauta"" ""_ é a astronauta"" ""astronauta conhecida como _"" ""astronauta chamada de _"" ""astronauta apelidada de _"" ""_ é uma das astronautas"" ""astronautas tais como _"" ""astronautas assim como _"" ""astronautas como _"" ""astronauta tal como _"" ""astronauta assim como _"" ""astronauta como _"" ""o vôo orbital de _"" ""_ fincava a bandeira norte-americana"" ""_ deixou a primeira pegada humana"" ""o cosmonauto _"" ""_ faz o primeiro vôo orbital"" ""o astronauta americano _"" ""o astronauta soviético _"" ""o spaceman soviético _ "" ""o spaceman _"" ""o astronauta _"" ""_ durante uma atividade no espaço"" ""o taikonauta _"" ""o espaçonauta _"" ""o cosmonauta _"" ""_ viu a Terra do espaço"" ""_ foi a primeira cosmonauta"" ""americana no espaço _ "" ""_ astronauta brasileiro"" ""_ astronauta americano"" ""_ astronauta russo""";;astronauta;2014-10-31;Maísa Duarte;Maísa Duarte;An astronaut is a person that has flown in outer space. Not used for animals sent to space experimentally.;/spaceflight/astronaut;No changes;
atleta;athletes;%s is an {athlete};TRUE;TRUE;pessoa;masculino feminino celebridade pessoaPorLocalidade ator treinador;;proper;" ""Alex Rodriguez"" ""Bebeto"" ""David Luiz"" ""Marcos Rocha"" ""Paolo Guerrero"" ""Neymar"" ""Vampeta"" ""Pelé"" ""Ronaldinho Gaúcho"" ""Ronaldo Fenômeno"" ""Raí"" ""Marta Vieira"" ""Fernando Scherer"" ""Gustavo Borges"" ""Ramires"" ""Bernard"" ""Fred"" ""Hulk"" ""Paulinho""";"""_ é um atleta"" ""_ é o atleta"" ""é o atleta _"" ""atleta conhecido como _"" ""atleta chamado de _"" ""atleta apelidado de _"" ""atleta tal como _"" ""atleta assim como _"" ""atleta como _"" ""_ é um dos atletas"" ""_ é uma atleta"" ""_ é a atleta"" ""atleta conhecida como _"" ""atleta chamada de _"" ""atleta apelidada de _"" ""atleta tais como _"" ""atleta assim como _"" ""atleta como _"" ""_ é uma das atletas"" ";{“Ken Griffey , Jr .”, “Ken Griffey Jr”} {“O.J. Simpson”, “O . J . Simpson”} {“Robert Trent Jones , Jr .”, “Robert Trent Jones Jr”} {“Arnold Palmer”, “legendary Arnold Palmer”} {“Cabell Robinson”, “Cabell B . Robinson”} {“catcher Ivan Rodriguez”, “Ivan Rodriguez”} {“Herrera Craig Brazell”, “Craig Brazell”} {“Luis G Rivera”, “Luis Rivera”} {“Marion Barber III”, “Marion Barber”} {“Mr. Travis Tobaben”, “Travis Tobaben”};atleta;2014-10-31;Maísa Duarte;Maísa Duarte;An athlete is a person who plays a sport competitively.;/sports/pro_athlete;Removed some names and added brazilian names;
atração;tourist attractions;%s is a {tourist attraction};TRUE;TRUE;localização;construção caverna lago montanha praia ilha rio trilha fazenda;;proper;"""Estátua da Liberdade"" ""Museu do Louvre"" ""Museu Picasso de Barcelona"" ""Museu Aeroespacial de Washington"" ""Museu TAM"" ""Museu de Arte Moderna da Bahia"" ""Observatório Astronómico de Lisboa"" ""Observatório Nacional"" ""Cristo Redentor"" ""Pão de Açúcar"" ""Museu de Arte de São Paulo"" ""Parque Nacional do Iguaçu"" ""Praia de Copacabana"" ""Chapada dos Veadeiros"" ""Parque Nacional do Itatiaia"" ""Igreja do Bonfim"" ""Catedral da Sé"" ""Museu de Arte da Pampulha"" ""Museu da Mineralogia"" ""Serra da Mantiqueira"" ""Parque do Ibirapuera"" ""Montanhas Cafeeiras de Minas"" ""Parque Nacional da Serra da Capivara"" ""Pelourinho"" ""Pantanal"" ""Lençóis Maranhenses"" ""Museu Pierre Chalita"" ""Museu Afro-brasileiro"" ""Fundação Casa de Jorge Amado"" ""Mercado Modelo"" ""Farol da Barra"" ""Arquipélago de Fernando de Noronha"" ""Museu da Língua Portuguesa"" ""Museu do Futebol"" ""Museu de Arte de São Paulo Assis Chateaubriand"" ""Museu de Arte Sacra"" ""Basílica de São Bento"" ""Centro Cultural Banco do Brasil"" ""Memorial JK"" ""Praça dos Três Poderes""";"""_ é uma atração"" ""_ é a atração"" ""atração conhecida como _"" ""atração chamada de _"" ""atração apelidada de _"" ""atrações tais como _"" ""atrações assim como _"" ""atrações como _"" ""_ é uma das atrações"" ""_ é uma atração turística"" ""_ é a atração turística"" ""atração turística conhecida como _"" ""atração turística chamada de _"" ""atração turística apelidada de _"" ""atrações turísticas tais como _"" ""atrações turísticas assim como _"" ""atrações turísticas como _"" ""atrações tais como _"" ""atrações assim como _"" ""atrações como _"" ""atração turística tal como _"" ""atração turística assim como _"" ""atração turística como _"" ""_ é uma das atrações turísticas"" ";;atração;2014-10-31;Maísa Duarte;Maísa Duarte;sight or feature that you might visit as a tourist. Examples include monuments, parks, museums, and the like. This type includes Location, which means it is usually used for things which are themselves locations (like those described above;/travel/tourist_attraction;Removed almost all and added brazilian names;
motorDeAutomóvel;automobile maker;%s is a kind of {automobile engine};TRUE;TRUE;produto;;;proper;" ""Ford FE engine"" ""Ford 385 engine"" ""Ford Zetec engine"" ""Ford Duratec engine"" ""Ford 335 engine"" ""Ford Boss 302 engine"" ""Ford Windsor engine"" ""Ford Y-block engine"" ""Northstar engine series"" ""Chrysler Slant-6 engine"" ""Tritec engine"" ""Chrysler Flathead engine""";"""_ é um motor de automóvel"" ""_ é o motor de automóvel"" ""é o motor de automóvel _"" ""motor de automóvel conhecido como _"" ""motor de automóvel chamado de _"" ""motor de automóvel apelidado de _"" ""motor de automóvel tal como _"" ""motor de automóvel assim como _"" ""motor de automóvel como _"" ""_ é um dos motores de automóvel"" ""motores de automóvel tais como _"" ""motores de automóvel assim como _"" ""motores de automóvel como _"" ""_ é um motor de carro"" ""_ é o motor de carro"" ""é o motor de carro _"" ""motor de carro conhecido como _"" ""motor de carro chamado de _"" ""motor de carro apelidado de _"" ""motor de carro tal como _"" ""motor de carro assim como _"" ""motor de carro como _"" ""_ é um dos motores de carro"" ""motores de carro tais como _"" ""motores de carro assim como _"" ""motores de carro como _""";;motor de automóvel;2014-10-31;Maísa Duarte;Maísa Duarte;The engine type is to be used to classify specific powerplants used in an automobile. These may be year-specific, but more frequently they often span multiple years, models, makes and generations.;/automotive/engine;No changes;
fabricanteDeAutomóvel;automobile maker;%s is an {automobile manufacturer};TRUE;TRUE;empresa;;;proper;" ""Ford"" ""Honda"" ""Nissan"" ""Toyota"" ""SAAB"" ""Chevrolet"" ""Satrun"" ""General Motors"" ""Volvo"" ""Fiat"" ""Peugeot""";"""_ é um fabricante de automóvel"" ""_ é o fabricante de automóvel"" ""é o fabricante de automóvel _"" ""fabricante de automóvel conhecido como _"" ""fabricante de automóvel chamado de _"" ""fabricante de automóvel apelidado de _"" ""fabricante de automóvel tal como _"" ""fabricante de automóvel assim como _"" ""fabricante de automóvel como _"" ""_ é um dos fabricantes de automóvel"" ""fabricantes de automóvel tais como _"" ""fabricantes de automóvel assim como _"" ""fabricantes de automóvel como _"" ""_ é um fabricante de  carro"" ""_ é o fabricante de carro"" ""é o fabricante de  carro _"" ""fabricante de carro conhecido como _"" ""fabricante de carro chamado de _"" ""fabricante de carro apelidado de _"" ""fabricante de carro tal como _"" ""fabricante de carro assim como _"" ""fabricante de carro como _"" ""_ é um dos fabricantes de carro"" ""fabricantes de carro tais como _"" ""fabricantes de carro assim como _"" ""fabricantes de carro como _""";;fabricante de automóvel;2014-10-31;Maísa Duarte;Maísa Duarte;A company that manufactures motor-powered vehicles (eg., cars, motorcycles, buses, trucks and motorized bikes);/automotive/company;No changes;
modeloDeAutomóvel;car models;%s is a {model of automobile};TRUE;TRUE;veículo;;;proper;" ""Corolla"" ""Pálio"" ""Impala"" ""F250"" ""UNO"" ""Passat"" ""Fiesta"" ""Gol"" ""Focus"" ""Fox"" ""Fit"" ""Civic""";"""_ é um modelo de automóvel"" ""_ é o modelo de automóvel"" ""é o modelo de automóvel _"" ""modelo de automóvel conhecido como _"" ""modelo de automóvel chamado de _"" ""modelo de automóvel apelidado de _"" ""modelo de automóvel tal como _"" ""modelo de automóvel assim como _"" ""modelo de automóvel como _"" ""_ é um dos modelos de automóveis"" ""modelos de automóveis tais como _"" ""modelos de automóveis assim como _"" ""modelos de automóveis como _"" ""_ é um modelo de carro"" ""_ é o modelo do carro"" ""é o modelo de automóvel _"" ""modelo do carro conhecido como _"" ""modelo do carro chamado de _"" ""modelo do carro apelidado de _"" ""modelo do carro tal como _"" ""modelo do carro assim como _"" ""modelo do carro como _"" ""_ é um dos modelos de carro"" ""modelos de carro tais como _"" ""modelos de carro assim como _"" ""modelos de carro como _""";;modelo de automóvel;2014-10-31;Maísa Duarte;Maísa Duarte;A model is a specific car carried under a make.;/automotive/model;Removed some names and added brazilian names;
campeonato;championships;%s is an {award, championship, or tournament trophy};TRUE;TRUE;abstractThing;;;all;"""Copa do Mundo"" ""Campeonato Brasileiro de Futebol"" ""Olimpíadas"" ""Super Bowl"" ""Grande Prêmio de Abu Dhabi"" ""Grande Prêmio de Mônaco"" ""Fórmula Indy"" ""Fórmula Truck"" ""Grande Prêmio da Alemanha"" ""Campeonato NBA"" ""Copa das Confederações da FIFA"" ""Taça Davis"" ""Copa Sudamericana"" ""Taça Federação Portuguesa de Futebol"" ""Taça da Liga Inglesa de Futebol""";"""_ é um campeonato"" ""_ é o campeonato"" ""é o campeonato _"" ""campeonato conhecido como _"" ""campeonato chamado de _"" ""campeonato apelidado de _"" ""_ é um dos campeonatos""  ""campeonato tal como _"" ""campeonato assim como _"" ""campeonato como _"" ""campeonatos tais como _"" ""campeonatos assim como _"" ""campeonatos como _"" ""_ é um torneio"" ""_ é o torneio"" ""é o torneio _"" ""torneio conhecido como _"" ""torneio chamado de _"" ""torneio apelidado de _"" ""_ é um dos torneios"" ""torneio tal como _"" ""torneio assim como _"" ""torneio como _"" ""torneios tais como _"" ""torneios assim como _"" ""torneios como _""";;campeonato;2014-10-31;Maísa Duarte;Maísa Duarte;Sports award is a CVT which connects together the winner of a sports award, the award they won, the season for which they won the award and the team they represented (if applicable).;/sports/sports_championship;Removed almost all and added brazilian names;
bactéria;bacteria;%s is a {bacterium};TRUE;TRUE;espécies;;;proper;"""Bacilo"" ""Proteobacteria"" ""Yersinia pestis"" ""Escherichia coli"" ""Clostridium botulinum"" ""Rickettsia"" ""Staphylococcus aureus"" ""Cianobactérias"" ""Lactobacilos"" ""Espiroqueta"" ""Vibrião"" ""Actinobacteria""";"""bactérias tais como _"" ""bactérias assim como _"" ""bactérias como _"" ""_ é uma bactéria"" ""_ é a bactéria"" ""bactéria conhecida como _"" ""bactéria chamada de _"" ""bactéria apelidada de _"" ""_ é uma das bactérias"" ";;bactéria;2014-10-31;Maísa Duarte;Maísa Duarte;"single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission;";none;Few translated needed ;
assado;baked goods;%s is a {baked good};TRUE;TRUE;comida;;;all;"""bolinhos"" ""pães"" ""croissants"" ""tortas"" ""cookies"" ""pão frances"" ""pão de queijo"" ""bolos"" ""bem-casado"" ""biscoitos"" ""bolacha"" ""bolo"" ""pão caseiro"" ""broinha""";"""_ é um assado"" ""_ é o assado"" ""é o assado _"" ""assado conhecido como _"" ""assado chamado de _"" ""assado apelidado de _"" ""_ é um dos assados""  ""assado tal como _"" ""assado assim como _"" ""assado como _"" ""assados tais como _"" ""assados assim como _"" ""assados como _""";;assado;2014-10-31;Maísa Duarte;Maísa Duarte;A food which is made through baking in an oven;;Translated;
banco;banks;%s is a {bank};TRUE;TRUE;empresa;;;proper;"""Banco do Brasil"" ""Banco Itaú"" ""Banco Santander"" ""Bradesco"" ""Caixa Econômica Federal"" ""HSBC"" ""Banco Rural"" ""Citibank"" "" Banco Safra"" ""City Bank"" ";"""_ é um banco"" ""_ é o banco"" ""é o banco _"" ""banco conhecido como _"" ""banco chamado de _"" ""banco apelidado de _"" ""banco tal como _"" ""banco assim como _"" ""banco como _"" ""_ é um dos bancos"" ""bancos tais como _"" ""bancos assim como _"" ""bancos como _""";;banco;2014-10-31;Maísa Duarte;Maísa Duarte;Umbrella category for all kinds of banks;;Removed all and added brazilian names;
